OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE,BLOCKID10,HOUSING10,POP10,Shape_Length,Shape_Area,Longitude,Latitude
1,17,19,10604,1266,1.7019E+14,0,0,0.01096947,2.88204E-06,-88.20527887,40.15937427
2,17,19,10604,1245,1.7019E+14,0,0,0.010424624,5.03687E-07,-88.22319497,40.1438235
3,17,19,10500,2023,1.7019E+14,15,41,0.081298142,0.000286033,-88.33937233,40.2618462
4,17,19,10601,3035,1.7019E+14,0,0,0.01191664,4.65134E-06,-88.41943776,40.19310893
5,17,19,10603,2034,1.7019E+14,4,7,0.013167813,8.48284E-06,-88.39815726,40.18211306
6,17,19,901,1000,1.7019E+14,0,0,0.02295972,1.67128E-06,-88.26378697,40.1360109
7,17,19,700,3002,1.7019E+14,0,0,0.001229091,6.56125E-08,-88.25773604,40.13498075
8,17,19,700,3003,1.7019E+14,0,0,0.010536827,1.33199E-06,-88.25666534,40.13459354
9,17,19,800,1002,1.7019E+14,0,0,0.006303095,3.23581E-07,-88.26651691,40.15658214
10,17,19,10500,4145,1.7019E+14,23,56,0.011201716,5.0884E-06,-88.35349383,40.31546904
11,17,19,700,2016,1.7019E+14,0,0,0.009721751,5.26345E-06,-88.2443708,40.12483739
12,17,19,10604,1217,1.7019E+14,0,0,0.031194227,6.36256E-06,-88.26529409,40.15710886
13,17,19,10500,1050,1.7019E+14,1,1,0.037802724,5.36841E-05,-88.2581802,40.34263147
14,17,19,10800,2043,1.7019E+14,4,7,0.077023465,0.000191662,-88.0911517,40.02968475
15,17,19,10800,3006,1.7019E+14,0,0,0.008269185,1.74447E-07,-88.07372091,40.02736545
16,17,19,5600,5050,1.7019E+14,0,0,0.003969739,3.05905E-07,-88.18068356,40.0952647
17,17,19,5600,5027,1.7019E+14,97,165,0.054649511,5.30006E-05,-88.16579644,40.09397861
18,17,19,10700,6026,1.7019E+14,2,5,0.023364269,2.55824E-05,-88.06446688,40.18857079
19,17,19,10700,6106,1.7019E+14,6,14,0.077705384,0.000353469,-88.06113774,40.10332482
20,17,19,10500,1016,1.7019E+14,1,2,0.037201074,7.37178E-05,-88.29560287,40.38076478
21,17,19,10500,4066,1.7019E+14,2,4,0.021180417,2.36128E-05,-88.34540362,40.38325144
22,17,19,10700,5005,1.7019E+14,83,223,0.074276784,0.000148588,-88.03909234,40.13394735
